review,rating,date,bank,source,bank_id,sentiment_label,sentiment_score
It is well organized.,5,2025-09-08,CBE,Google Play,1,POSITIVE,0.9998693466186523
Can't see the nearest Branch or ATM available,2,2025-09-08,CBE,Google Play,1,NEGATIVE,0.9962969422340393
the app does not open,1,2025-09-07,CBE,Google Play,1,NEGATIVE,0.9997572302818298
from Monk,3,2025-09-06,CBE,Google Play,1,POSITIVE,0.9398741722106934
"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",5,2025-09-06,CBE,Google Play,1,POSITIVE,0.9996967315673828
incredible,5,2025-09-06,CBE,Google Play,1,POSITIVE,0.9998753070831299
የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,2025-09-06,CBE,Google Play,1,NEGATIVE,0.9570397138595581
it's the best money transfer app ever,5,2025-09-06,CBE,Google Play,1,POSITIVE,0.9996806383132935
it is nice,5,2025-09-05,CBE,Google Play,1,POSITIVE,0.9998648166656494
user friendly. best.,5,2025-09-05,CBE,Google Play,1,POSITIVE,0.9997245669364929
🙏,5,2025-09-05,CBE,Google Play,1,NEGATIVE,0.6970565915107727
አሪፍ,5,2025-09-05,CBE,Google Play,1,NEGATIVE,0.6970565915107727
best app!!!,5,2025-09-05,CBE,Google Play,1,POSITIVE,0.9997482895851135
"It is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. So please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. We do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number How can I know who tranfers to me???",4,2025-09-05,CBE,Google Play,1,NEGATIVE,0.9859862327575684
very good app,5,2025-09-05,CBE,Google Play,1,POSITIVE,0.9998675584793091
jabirabdala,5,2025-09-04,CBE,Google Play,1,NEGATIVE,0.9328044652938843
unfair cost of transportations... what a shame!!!,1,2025-09-04,CBE,Google Play,1,NEGATIVE,0.9997835755348206
"I think it is a good app to use easily. However, I have one more comment: the app does not automatically sync or update the balance in real time. Please review this issue. For example, when someone transfers money, the receiver's app does not sync automatically. It requires the user to manually initiate an update to see the current balance.",4,2025-09-04,CBE,Google Play,1,NEGATIVE,0.9977512955665588
WAW!!! I AM PROUD!!! MY STRONG BANK WORKS AT BEST EVEN IN A REMOTE LOCATION HERE IN MALABO (ECUATORIAL GUINEA). MEWOLID MUBARAK CBE!!!,5,2025-09-04,CBE,Google Play,1,POSITIVE,0.9996813535690308
zinaa Ahmed,5,2025-09-04,CBE,Google Play,1,POSITIVE,0.924660325050354
absolutely excellent,5,2025-09-04,CBE,Google Play,1,POSITIVE,0.9998593330383301
amazing app,5,2025-09-03,CBE,Google Play,1,POSITIVE,0.9998670816421509
perfect and easy,5,2025-09-03,CBE,Google Play,1,POSITIVE,0.9998718500137329
fastest,5,2025-09-03,CBE,Google Play,1,POSITIVE,0.999160885810852
My account is not working,4,2025-09-03,CBE,Google Play,1,NEGATIVE,0.9997815489768982
The recent update is not optimized fir latest version of android,2,2025-09-02,CBE,Google Play,1,NEGATIVE,0.999637246131897
topp,5,2025-09-02,CBE,Google Play,1,POSITIVE,0.9706206321716309
I appreciate it,5,2025-09-01,CBE,Google Play,1,POSITIVE,0.999839186668396
v.good app,5,2025-09-01,CBE,Google Play,1,POSITIVE,0.9952701926231384
sahib amin jamal,1,2025-08-31,CBE,Google Play,1,POSITIVE,0.8987875580787659
installi,5,2025-08-31,CBE,Google Play,1,NEGATIVE,0.9575467109680176
very good apps,5,2025-08-30,CBE,Google Play,1,POSITIVE,0.9998751878738403
👍👍👍👍,1,2025-08-30,CBE,Google Play,1,NEGATIVE,0.6970565915107727
the app say it is not compatible with ur phone can u fix it it is not updating.,1,2025-08-30,CBE,Google Play,1,NEGATIVE,0.9997796416282654
"I would like to give you some feedback on Current update, its very nice and easy to use👍 but in some button there is still not improved For example while iwant to check my recent Txn it not well sequenced and arranged or some txn may not appear ... becouse of this i see many of users of this app discomferted maily merchants and those make High txn daily. improve and miximize the txn shown to 300 up to 500. make Searchable Recent txn button! All in all the bank i Relly on! CBE my bank !",5,2025-08-29,CBE,Google Play,1,NEGATIVE,0.9962132573127747
tinishu titiba,5,2025-08-29,CBE,Google Play,1,NEGATIVE,0.715971827507019
"essy to use ,has great interface and user-friendly g",5,2025-08-29,CBE,Google Play,1,POSITIVE,0.9995421171188354
Yuuuuu,5,2025-08-29,CBE,Google Play,1,NEGATIVE,0.9227678775787354
I found it very much friendly,5,2025-08-29,CBE,Google Play,1,POSITIVE,0.9997764229774475
"Very useful app, while we use CBE.",5,2025-08-28,CBE,Google Play,1,POSITIVE,0.9981263279914856
woooow,5,2025-08-28,CBE,Google Play,1,POSITIVE,0.9561602473258972
Redmi,1,2025-08-28,CBE,Google Play,1,POSITIVE,0.9882866740226746
አርፍ ነው ነገር ግን ሴብ ያረገውን አካውንት እያጠፋብን ነው,5,2025-08-28,CBE,Google Play,1,NEGATIVE,0.932232677936554
kamil aweil,5,2025-08-28,CBE,Google Play,1,POSITIVE,0.9943663477897644
In your next update can you come with night mode future,5,2025-08-27,CBE,Google Play,1,NEGATIVE,0.6754571199417114
"Truly, super competitive when compared to a well known app nowadays functioning broadly by simplest features and means namely known as Telebirr super app, Thus, CBE is my top ultimate choice that I prefer over the other bank due to its beautiful power of lead as a result I could recommend CBE to others because of its service provision via ethical principles and practice for customers satisfaction with existence of constraints and challenges face from burglary and froudalent hacker. Thank you !",5,2025-08-27,CBE,Google Play,1,POSITIVE,0.9994266033172607
mayreba app you its better if you use other banks,1,2025-08-27,CBE,Google Play,1,NEGATIVE,0.9957265853881836
Not Prefect Transfer To Other Bank The Mony Not Deliverd Imidetliy Take Three Or Five Days,1,2025-08-27,CBE,Google Play,1,NEGATIVE,0.9938229322433472
let us know before you shut down the app,4,2025-08-27,CBE,Google Play,1,NEGATIVE,0.9973037242889404
excited,5,2025-08-27,CBE,Google Play,1,POSITIVE,0.9997768998146057
amizing,5,2025-08-26,CBE,Google Play,1,NEGATIVE,0.9881718754768372
love it,5,2025-08-26,CBE,Google Play,1,POSITIVE,0.9998753070831299
yes it is v good,5,2025-08-26,CBE,Google Play,1,POSITIVE,0.9994988441467285
A great update in the Mobile Banking Application. Thanks for the System and customization department,5,2025-08-26,CBE,Google Play,1,POSITIVE,0.9994227886199951
this app is smart.,5,2025-08-26,CBE,Google Play,1,POSITIVE,0.9998302459716797
I am happy,5,2025-08-26,CBE,Google Play,1,POSITIVE,0.9998801946640015
Still I have not face critical problems sometimes delay to open,4,2025-08-26,CBE,Google Play,1,POSITIVE,0.9847295880317688
ጤና ከድረ,5,2025-08-25,CBE,Google Play,1,NEGATIVE,0.7850590348243713
The connection between bank and the app is lag relationship this must be corrected.,4,2025-08-25,CBE,Google Play,1,NEGATIVE,0.999581515789032
I have forgotten mobail banking password,5,2025-08-25,CBE,Google Play,1,NEGATIVE,0.99432772397995
Thank you,5,2025-08-25,CBE,Google Play,1,POSITIVE,0.9998352527618408
muktaar Abraahim,5,2025-08-25,CBE,Google Play,1,NEGATIVE,0.9458082318305969
🤞Good One,5,2025-08-24,CBE,Google Play,1,POSITIVE,0.8484408259391785
why does it say change pin to 6 digits is that right?,4,2025-08-24,CBE,Google Play,1,NEGATIVE,0.9931118488311768
One of the worst mobile banking apps in Ethiopia. You can't access your txn record for more than 2 weeks.,1,2025-08-24,CBE,Google Play,1,NEGATIVE,0.9997283816337585
i like it and aprshat.,4,2025-08-23,CBE,Google Play,1,POSITIVE,0.999653697013855
"The app has some issues I updated recently and now I am not able to send funds to my telebirr wallet, also we need to have a place we save our contacts where we usually send money to, after update I keep loosing all the important accounts.",4,2025-08-23,CBE,Google Play,1,NEGATIVE,0.9994633793830872
best app and easy to use,5,2025-08-23,CBE,Google Play,1,POSITIVE,0.9996281862258911
doesn't work unless with data doesn't refresh fast other wise functions ok but after the update transferring to telebirr is not working,2,2025-08-23,CBE,Google Play,1,NEGATIVE,0.9990184307098389
List of transactions can't load over months and years..,1,2025-08-23,CBE,Google Play,1,POSITIVE,0.6906006336212158
transferring money to telebirr is not working,1,2025-08-23,CBE,Google Play,1,NEGATIVE,0.9997877478599548
I don't Like this app and there service fee is highl,5,2025-08-23,CBE,Google Play,1,NEGATIVE,0.9943022727966309
አዲሱ Update ጥሩ አይደለም. Update ካደረግኩት በኋላ ከዚህ በፊት ስላላክባቸው የነበሩትን Save አድርጎ ይዞት የነበረውን ሁሉንም የሰዎች አካውንቶች አጥፍቶብኛል.,2,2025-08-23,CBE,Google Play,1,NEGATIVE,0.9872555732727051
this application do not show over all transaction history,3,2025-08-23,CBE,Google Play,1,NEGATIVE,0.9990196228027344
this app is very nice but statment history is very shiort atlist add 15 days,4,2025-08-23,CBE,Google Play,1,NEGATIVE,0.9775184988975525
"This app stooped working after i updated it. It says change password and i did, but it doesn't open with the new password. I don't like it.",1,2025-08-23,CBE,Google Play,1,NEGATIVE,0.9994884729385376
best and secured application,5,2025-08-23,CBE,Google Play,1,POSITIVE,0.9997896552085876
This application is excellent .,5,2025-08-22,CBE,Google Play,1,POSITIVE,0.9998652935028076
"The new update is very bugged. can't view the names of account holders I previously had transactions with, and more recently, its almost impossible to load money to telebirr, always says unable to connect...please fix asap",1,2025-08-22,CBE,Google Play,1,NEGATIVE,0.9997369647026062
Thise App is Great,5,2025-08-22,CBE,Google Play,1,POSITIVE,0.9997069239616394
አፕሊኬሽኑን አብዴት ካደረኩት በኋላ የሚስጥር ቁጥር አጭር ስለሆነ ቀይር ብሎኝ ለሶስት ቀናት ብሞክር unable to connect the server ከማለቱም በላይ አፕሊካሽኑ እየሰራልኝ አይደለም🙏🙏,1,2025-08-22,CBE,Google Play,1,NEGATIVE,0.9994959831237793
"I love this app. really, but with some downsides too. Screenshot is mandatory after every transaction as to me, I need screenshots not downloaded recipient. It would be even better if transaction history is available via this app for months that we can access directly or via calender ways. Thanks.",4,2025-08-22,CBE,Google Play,1,NEGATIVE,0.9867143034934998
👍,5,2025-08-22,CBE,Google Play,1,NEGATIVE,0.6970565915107727
it is good app,5,2025-08-22,CBE,Google Play,1,POSITIVE,0.9998652935028076
good and always try to make new updats 🙏👍,5,2025-08-22,CBE,Google Play,1,POSITIVE,0.9997432827949524
"I use the Commercial Bank of Ethiopia mobile app, and it’s fantastic! The interface is user-friendly, making it easy to check balances and transfer money. I love the bill payment feature, and the security measures give me peace of mind. Overall, it’s a reliable app that has simplified my banking experience. Highly recommend!",5,2025-08-22,CBE,Google Play,1,POSITIVE,0.9998327493667603
i don' want,5,2025-08-22,CBE,Google Play,1,NEGATIVE,0.9935491681098938
"it's very nice simple and convenient app! but I have only one comment on double verifications after the finger prints. even thought its good for makin' it more secure, Its not neccessary to double verify after the finger print verification. no need to verify by pin again. thank you!",5,2025-08-22,CBE,Google Play,1,NEGATIVE,0.7717221975326538
one of the best,5,2025-08-22,CBE,Google Play,1,POSITIVE,0.9998641014099121
"why is it every time the app is updated history of previous account numbers keeps missing , WHY??",1,2025-08-21,CBE,Google Play,1,NEGATIVE,0.9994832277297974
You guys charge way to much when we transfer money from CBE to Telebirr via this app,3,2025-08-21,CBE,Google Play,1,NEGATIVE,0.9921815395355225
not bad apk,1,2025-08-21,CBE,Google Play,1,POSITIVE,0.9990298748016357
yes these app is so good for our saving and marketing system go ETHIOPIA GO!!!,5,2025-08-21,CBE,Google Play,1,POSITIVE,0.9989866614341736
best mobile banking App that have seen .,5,2025-08-21,CBE,Google Play,1,POSITIVE,0.9996659755706787
It's very helpful apps,5,2025-08-21,CBE,Google Play,1,POSITIVE,0.9997400641441345
Every major update means you have to go back to Ethiopia to make the app work. In 2025?,2,2025-08-21,CBE,Google Play,1,NEGATIVE,0.9881246089935303
"Unable to connect, pls. Improve the system",5,2025-08-20,CBE,Google Play,1,NEGATIVE,0.9995279312133789
well app,5,2025-08-20,CBE,Google Play,1,POSITIVE,0.9993765950202942
"Smart service But, your service charge is too high",5,2025-08-20,CBE,Google Play,1,NEGATIVE,0.997087299823761
perfect 👌 keep,5,2025-08-20,CBE,Google Play,1,POSITIVE,0.99981290102005
"እባካችሁ አፑ ጥሩ ነው ነገር ግን በፈለግነው ጊዜና ሰአት መጠቀም አልቻልንም ኔትዎርክ እያለ እንኳ እያስጠቀመን አይደለም""""",2,2025-08-20,CBE,Google Play,1,NEGATIVE,0.9480838775634766
excellent plus,5,2025-08-20,CBE,Google Play,1,POSITIVE,0.9998642206192017
Would be great if it displays service fees before proceeding with transaction.,4,2025-08-20,CBE,Google Play,1,NEGATIVE,0.9983863830566406
so disappointing :((,1,2025-08-20,CBE,Google Play,1,NEGATIVE,0.9998121857643127
what nice app i never usedyet,4,2025-08-20,CBE,Google Play,1,POSITIVE,0.9993265867233276
Excellent,5,2025-08-20,CBE,Google Play,1,POSITIVE,0.9998434782028198
ke gizew ga emihed astemamagn metegberya,1,2025-08-20,CBE,Google Play,1,NEGATIVE,0.7793749570846558
"this app is pretty good. The recent one was the nicest. however after the update, it restricts me from taking a screenshot. i would be happy if you remove screenshots restriction policy from this app. why I gave it five stars was because of the past performances of this app. keep in mind to remove the screenshot restriction policy from this app. and also it has no self authorizations. once uninstalled it needs extra sim cards and wants to visit nearby banks in person.",5,2025-08-20,CBE,Google Play,1,NEGATIVE,0.9711772799491882
Send money for some account but don't reserved Ball,5,2025-08-20,CBE,Google Play,1,NEGATIVE,0.9694756269454956
very good🙏🙏,5,2025-08-19,CBE,Google Play,1,POSITIVE,0.8243637084960938
I recognized thank you,5,2025-08-19,CBE,Google Play,1,POSITIVE,0.9998434782028198
Best feature!!,5,2025-08-19,CBE,Google Play,1,POSITIVE,0.9998444318771362
the saved account totally removed ..why????????,1,2025-08-19,CBE,Google Play,1,NEGATIVE,0.9997368454933167
good bank Ethiopian very nic,5,2025-08-18,CBE,Google Play,1,POSITIVE,0.9994763731956482
this good app but screenshot must enable,4,2025-08-18,CBE,Google Play,1,POSITIVE,0.9907084703445435
በፊት ብር ትራንስፈር የተደረገባቸዉን አካዉንቶች remove አርጓል የሚያናድድ update ነው ::,1,2025-08-18,CBE,Google Play,1,NEGATIVE,0.9865872263908386
change mobile banking CBE,5,2025-08-18,CBE,Google Play,1,POSITIVE,0.582142174243927
The process of updating is not functioning easily. Installing is easy than updating. Screenshot should not be prevented. it is an instant evidence needed for some transactions.,2,2025-08-18,CBE,Google Play,1,NEGATIVE,0.7523461580276489
Adisi Deti,5,2025-08-17,CBE,Google Play,1,POSITIVE,0.7580509781837463
this app is the good apps,5,2025-08-17,CBE,Google Play,1,POSITIVE,0.999853253364563
አሪፋ ነዉ ነገር ግን Recent Transaction በጣም የቆየዉን ነዉ የሚያሳይ Evene refresh ሁሉ ሲደረግ ትክክለኛ የቅርብ Transaction አያሳይም። Please አስተካክሉት,2,2025-08-15,CBE,Google Play,1,NEGATIVE,0.9526928067207336
congra ethio,5,2025-08-15,CBE,Google Play,1,POSITIVE,0.9800974726676941
እንዲሁ ነው የሰተኋችሁ ለሞራል,5,2025-08-15,CBE,Google Play,1,NEGATIVE,0.8616330027580261
I don't think it is compatible with the new android version 16 it fails to open. Please update it or find a solution.,1,2025-08-14,CBE,Google Play,1,NEGATIVE,0.9997748732566833
"ohhhh🤦 you must upgrade transferring problem. most of time, when transfer from CBE mobile banking to tele birr account, always suspending for 3 to 5 days 🤔. please try to fix it 🙏",2,2025-08-14,CBE,Google Play,1,NEGATIVE,0.9974616765975952
this APK Best for most of people,5,2025-08-13,CBE,Google Play,1,POSITIVE,0.9989105463027954
good keep it up,5,2025-08-13,CBE,Google Play,1,POSITIVE,0.9998568296432495
very nice app,5,2025-08-12,CBE,Google Play,1,POSITIVE,0.9998562335968018
Most of the time either the app or *889# don't work,2,2025-08-12,CBE,Google Play,1,NEGATIVE,0.9996015429496765
cbe. noor,2,2025-08-12,CBE,Google Play,1,POSITIVE,0.7760332822799683
why this app is logging in while your device is not connected to internet ... is it appropriate ?... and it isnt exposed to hucking or malicious activity?,1,2025-08-12,CBE,Google Play,1,NEGATIVE,0.9912410378456116
በጣም አሪፍ ነው በርቱልን,5,2025-08-12,CBE,Google Play,1,NEGATIVE,0.8616330027580261
this is so good,5,2025-08-11,CBE,Google Play,1,POSITIVE,0.9998397827148438
❤❤❤❤❤😂,5,2025-08-10,CBE,Google Play,1,NEGATIVE,0.6970565915107727
Very interesting 🤔,5,2025-08-10,CBE,Google Play,1,POSITIVE,0.9997901320457458
very good app 👍👍👍 time saving and more accurate,5,2025-08-09,CBE,Google Play,1,POSITIVE,0.9997368454933167
"i like your app to order ATM card through it, i get it new on your app",5,2025-08-09,CBE,Google Play,1,POSITIVE,0.8364057540893555
very bad app,1,2025-08-09,CBE,Google Play,1,NEGATIVE,0.9997768998146057
good 👍,5,2025-08-09,CBE,Google Play,1,POSITIVE,0.9998576641082764
it is the best transferring AP,5,2025-08-08,CBE,Google Play,1,POSITIVE,0.999705970287323
it's good but add some more please,3,2025-08-08,CBE,Google Play,1,POSITIVE,0.9998283386230469
best servis app,4,2025-08-07,CBE,Google Play,1,POSITIVE,0.9994334578514099
very useful to use it from any where in the world !,5,2025-08-07,CBE,Google Play,1,POSITIVE,0.996921956539154
it very good but why block the screen shoot,5,2025-08-07,CBE,Google Play,1,NEGATIVE,0.9954419136047363
Good app,5,2025-08-07,CBE,Google Play,1,POSITIVE,0.9998493194580078
"the most disgusting app,",1,2025-08-07,CBE,Google Play,1,NEGATIVE,0.9976406097412109
ብዙ የሚቀሩ ነገሮ አሉ ለምሳሌ አንድ ሰው ወደ ቴሌ ብር ሲልክ ግዴታ አካካውንት የከፈተበት ስልክ መሆን አይጠበቅበትም እና ሲስተሙ የበለጠ አዘምኑት ሰው ባንክ ሲመጣ የፈጠነ ማስተናገድ ወደ ቅርንጫፍ ሲመጣ እዛም አካውንት እዚም አካውንት መከፈት የለበትም እንዲ ሲሆን ደንበኛ ይሸሻል ሌላው ደሞ የሰራተኞቹን ልብስ ቀይሩት እውነት ለመናገር ቀቤር አስፈፃሚ ነው ሚመስሉት የቀረውን እናንተ መርምራቹ አስተካክሉት አመሰግናለሁ,3,2025-08-07,CBE,Google Play,1,NEGATIVE,0.964240312576294
"unexpected anomalies, unreliable as fintec app",2,2025-08-05,CBE,Google Play,1,NEGATIVE,0.9917572140693665
best one,5,2025-08-05,CBE,Google Play,1,POSITIVE,0.999826967716217
awesome,5,2025-08-05,CBE,Google Play,1,POSITIVE,0.9998682737350464
so good,5,2025-08-04,CBE,Google Play,1,POSITIVE,0.999841570854187
worst experience,1,2025-08-04,CBE,Google Play,1,NEGATIVE,0.9998027682304382
The 1st one is CBE,5,2025-08-04,CBE,Google Play,1,POSITIVE,0.9928787350654602
Make the reason we wrote visible on app transaction.,2,2025-12-01,BOA,Google Play,2,NEGATIVE,0.9711726903915405
app is note active working crash,1,2025-11-30,BOA,Google Play,2,NEGATIVE,0.848737895488739
🙏👍,5,2025-11-29,BOA,Google Play,2,NEGATIVE,0.6970565915107727
Very Good,5,2025-11-28,BOA,Google Play,2,POSITIVE,0.9998520612716675
goof,5,2025-11-28,BOA,Google Play,2,NEGATIVE,0.9975278973579407
good!,5,2025-11-28,BOA,Google Play,2,POSITIVE,0.9998268485069275
good jop,5,2025-11-27,BOA,Google Play,2,POSITIVE,0.9998409748077393
bad exprience...it is so crushed,1,2025-11-27,BOA,Google Play,2,NEGATIVE,0.9998053908348083
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,2025-11-26,BOA,Google Play,2,NEGATIVE,0.9997656941413879
ምንም የማይ ሰራ,1,2025-11-26,BOA,Google Play,2,NEGATIVE,0.8337252736091614
most of the time is not working properly,1,2025-11-25,BOA,Google Play,2,NEGATIVE,0.9997636675834656
good service,5,2025-11-25,BOA,Google Play,2,POSITIVE,0.9998499155044556
not use for me,3,2025-11-23,BOA,Google Play,2,NEGATIVE,0.9953739047050476
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA,Google Play,2,NEGATIVE,0.9968326687812805
waw,5,2025-11-21,BOA,Google Play,2,NEGATIVE,0.7346178889274597
the lag is unbelievable when you need it the most this suks,1,2025-11-19,BOA,Google Play,2,NEGATIVE,0.9983174800872803
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,BOA,Google Play,2,NEGATIVE,0.999693751335144
it is a good app,5,2025-11-18,BOA,Google Play,2,POSITIVE,0.9998643398284912
it is not working at all,1,2025-11-15,BOA,Google Play,2,NEGATIVE,0.9997811913490295
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,BOA,Google Play,2,POSITIVE,0.8251601457595825
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,BOA,Google Play,2,NEGATIVE,0.9952510595321655
fast and simple,5,2025-11-11,BOA,Google Play,2,POSITIVE,0.9997392296791077
best of best,5,2025-11-10,BOA,Google Play,2,POSITIVE,0.9997496008872986
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,BOA,Google Play,2,NEGATIVE,0.9993888139724731
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,BOA,Google Play,2,NEGATIVE,0.9947029948234558
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08,BOA,Google Play,2,NEGATIVE,0.8848855495452881
"Barely works, it always fails to connect",1,2025-11-07,BOA,Google Play,2,NEGATIVE,0.9997532963752747
my fav app,5,2025-11-07,BOA,Google Play,2,POSITIVE,0.9846561551094055
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,BOA,Google Play,2,NEGATIVE,0.9977949857711792
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,BOA,Google Play,2,NEGATIVE,0.9985816478729248
I like,5,2025-11-02,BOA,Google Play,2,POSITIVE,0.9998149275779724
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01,BOA,Google Play,2,NEGATIVE,0.9608768820762634
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,BOA,Google Play,2,NEGATIVE,0.9083430767059326
"the worst app ever,",1,2025-10-30,BOA,Google Play,2,NEGATIVE,0.9997932314872742
better,5,2025-10-29,BOA,Google Play,2,POSITIVE,0.999264657497406
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,BOA,Google Play,2,NEGATIVE,0.99928218126297
this app can't open? what is problem? please solve my problem?,1,2025-10-28,BOA,Google Play,2,NEGATIVE,0.9996218681335449
kiyaa makonn,5,2025-10-27,BOA,Google Play,2,POSITIVE,0.7175909876823425
very very lazy app,1,2025-10-26,BOA,Google Play,2,NEGATIVE,0.9996856451034546
telebirr remittance,5,2025-10-24,BOA,Google Play,2,NEGATIVE,0.9799609780311584
The best bank in 🇪🇹,5,2025-10-23,BOA,Google Play,2,POSITIVE,0.9998179078102112
its good,5,2025-10-22,BOA,Google Play,2,POSITIVE,0.9998385906219482
the worst app in my financial experience.,1,2025-10-22,BOA,Google Play,2,NEGATIVE,0.9997914433479309
good for mb appliciation,5,2025-10-21,BOA,Google Play,2,POSITIVE,0.9943337440490723
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,BOA,Google Play,2,NEGATIVE,0.9997623562812805
try to easy network,4,2025-10-17,BOA,Google Play,2,NEGATIVE,0.9987332224845886
hussen hassen umer,5,2025-10-16,BOA,Google Play,2,POSITIVE,0.8681215047836304
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16,BOA,Google Play,2,NEGATIVE,0.9988431930541992
an exceptional banking app.,5,2025-10-16,BOA,Google Play,2,POSITIVE,0.9997233748435974
alhamdulilah,5,2025-10-11,BOA,Google Play,2,POSITIVE,0.8558264374732971
poor,5,2025-10-11,BOA,Google Play,2,NEGATIVE,0.9997912049293518
Best of best,5,2025-10-09,BOA,Google Play,2,POSITIVE,0.9997496008872986
from the last week updates the app is not working Please check the problems,1,2025-10-08,BOA,Google Play,2,NEGATIVE,0.9996919631958008
It's always crushing,1,2025-10-08,BOA,Google Play,2,NEGATIVE,0.9993805885314941
office branches have to improve their services please,4,2025-10-07,BOA,Google Play,2,POSITIVE,0.6649660468101501
♥️♥️,5,2025-10-05,BOA,Google Play,2,POSITIVE,0.9437572360038757
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05,BOA,Google Play,2,NEGATIVE,0.9988381266593933
it needs a timely update,5,2025-10-03,BOA,Google Play,2,NEGATIVE,0.9983032941818237
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,BOA,Google Play,2,NEGATIVE,0.9997054934501648
I can't type my otp on it.,1,2025-10-01,BOA,Google Play,2,NEGATIVE,0.9990899562835693
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01,BOA,Google Play,2,NEGATIVE,0.9977109432220459
jaajja,4,2025-09-30,BOA,Google Play,2,NEGATIVE,0.9872855544090271
I love this bank the best experience ever.,5,2025-09-28,BOA,Google Play,2,POSITIVE,0.9998602867126465
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25,BOA,Google Play,2,NEGATIVE,0.9997023940086365
easy and fast,5,2025-09-24,BOA,Google Play,2,POSITIVE,0.9995583891868591
Great,5,2025-09-20,BOA,Google Play,2,POSITIVE,0.9998630285263062
mobile banking,5,2025-09-19,BOA,Google Play,2,POSITIVE,0.9076532125473022
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17,BOA,Google Play,2,NEGATIVE,0.9918755292892456
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15,BOA,Google Play,2,NEGATIVE,0.9964402318000793
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15,BOA,Google Play,2,NEGATIVE,0.9995414018630981
none,5,2025-09-14,BOA,Google Play,2,NEGATIVE,0.985345721244812
very good app i ever used,5,2025-09-12,BOA,Google Play,2,POSITIVE,0.9998385906219482
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11,BOA,Google Play,2,NEGATIVE,0.9979867935180664
zedo,5,2025-09-11,BOA,Google Play,2,POSITIVE,0.994045615196228
